"","AOI","Temp","Time","Cell","Species","Recovery","Day","final","initial","post"
"1","1","30","60","A1","Bean","Light",1,"0.816","0.833","0.802"
"2","1","35","30","A1","Bean","Light",1,"0.774","0.819","0.756"
"3","1","48","5","A1","Bean","Light",1,"0.313","0.835",NA
"4","1","35","60","A1","Bean","Light",1,"0.73","0.808","0.724"
"5","1","44","60","A1","Bean","Light",1,"0","0.803","0"
"6","1","40","120","A1","Bean","Light",1,"0.504","0.816","0.571"
"7","1","44","5","A1","Bean","Light",1,"0.429","0.804","0.462"
"8","1","52","30","A1","Bean","Light",1,"0","0.765","0"
"9","1","44","15","A1","Bean","Light",1,"0.232","0.792","0.211"
"10","1","40","60","A1","Bean","Light",1,"0.687","0.834","0.797"
"11","1","48","30","A1","Bean","Light",1,"0","0.816","0"
"12","1","40","30","A1","Bean","Light",1,"0.721","0.811","0.604"
"13","1","35","120","A1","Bean","Light",1,"0.76","0.829","0.686"
"14","1","44","30","A1","Bean","Light",1,"0.221","0.8","0.079"
"15","1","40","15","A1","Bean","Light",1,"0.784","0.838","0.73"
"16","1","44","120","A1","Bean","Light",1,"0","0.801","0"
"17","1","48","60","A1","Bean","Light",1,"0","0.801","0"
"18","1","52","5","A1","Bean","Light",1,"0","0.811","0"
"19","1","52","15","A1","Bean","Light",1,"0","0.806","0"
"20","10","48","60","B4","Lomandra","Light",1,"0.406","0.784","0.325"
"21","10","44","120","B4","Lomandra","Light",1,"0.616","0.74","0.414"
"22","10","44","15","B4","Lomandra","Light",1,"0.696","0.772","0.584"
"23","10","30","60","B4","Lomandra","Light",1,"0.712","0.8","0.625"
"24","10","52","30","B4","Lomandra","Light",1,"0.044","0.78","0.04"
"25","10","44","30","B4","Lomandra","Light",1,"0.765","0.773","0.71"
"26","10","48","30","B4","Lomandra","Light",1,"0.498","0.773","0.236"
"27","10","40","30","B4","Lomandra","Light",1,"0.739","0.768","0.663"
"28","10","35","30","B4","Lomandra","Light",1,"0.715","0.779","0.663"
"29","10","35","60","B4","Lomandra","Light",1,"0.696","0.766","0.676"
"30","10","44","5","B4","Lomandra","Light",1,"0.695","0.783","0.618"
"31","10","35","120","B4","Lomandra","Light",1,"0.728","0.8","0.678"
"32","10","40","120","B4","Lomandra","Light",1,"0.747","0.803","0.662"
"33","10","52","15","B4","Lomandra","Light",1,"0.133","0.785","0.225"
"34","10","48","5","B4","Lomandra","Light",1,"0.62","0.764",NA
"35","10","40","60","B4","Lomandra","Light",1,"0.705","0.77","0.793"
"36","10","52","5","B4","Lomandra","Light",1,"0.372","0.792","0.333"
"37","10","44","60","B4","Lomandra","Light",1,"0.774","0.767","0.486"
"38","10","40","15","B4","Lomandra","Light",1,"0.731","0.813","0.673"
"39","11","52","15","B5","Bean","Light",1,"0","0.807","0"
"40","11","44","30","B5","Bean","Light",1,"0.183","0.814","0.189"
"41","11","44","120","B5","Bean","Light",1,"0","0.796","0"
"42","11","44","60","B5","Bean","Light",1,"0","0.802","0"
"43","11","44","5","B5","Bean","Light",1,"0.477","0.818","0.426"
"44","11","48","30","B5","Bean","Light",1,"0","0.805","0"
"45","11","40","120","B5","Bean","Light",1,"0.294","0.8","0.262"
"46","11","48","60","B5","Bean","Light",1,"0","0.804","0"
"47","11","40","15","B5","Bean","Light",1,"0.734","0.832","0.641"
"48","11","30","60","B5","Bean","Light",1,"0.803","0.828","0.76"
"49","11","44","15","B5","Bean","Light",1,"0.086","0.801","0"
"50","11","40","30","B5","Bean","Light",1,"0.752","0.81","0.672"
"51","11","35","60","B5","Bean","Light",1,"0.716","0.801","0.727"
"52","11","35","30","B5","Bean","Light",1,"0.77","0.797","0.741"
"53","11","35","120","B5","Bean","Light",1,"0.675","0.814","0.628"
"54","11","52","30","B5","Bean","Light",1,"0","0.786","0"
"55","11","52","5","B5","Bean","Light",1,"0","0.828","0"
"56","11","40","60","B5","Bean","Light",1,"0.357","0.827","0.631"
"57","11","48","5","B5","Bean","Light",1,"0.11","0.838",NA
"58","12","40","120","B6","Bean","Light",1,"0.287","0.807","0.297"
"59","12","48","30","B6","Bean","Light",1,"0","0.813","0"
"60","12","44","30","B6","Bean","Light",1,"0.194","0.818","0.219"
"61","12","48","5","B6","Bean","Light",1,"0","0.807",NA
"62","12","52","15","B6","Bean","Light",1,"0","0.804","0"
"63","12","30","60","B6","Bean","Light",1,"0.778","0.83","0.767"
"64","12","48","60","B6","Bean","Light",1,"0","0.804","0"
"65","12","40","30","B6","Bean","Light",1,"0.749","0.816","0.687"
"66","12","40","15","B6","Bean","Light",1,"0.739","0.802","0.668"
"67","12","40","60","B6","Bean","Light",1,"0.446","0.834","0.654"
"68","12","35","30","B6","Bean","Light",1,"0.775","0.806","0.731"
"69","12","52","30","B6","Bean","Light",1,"0","0.798","0"
"70","12","44","15","B6","Bean","Light",1,"0.121","0.801","0.057"
"71","12","44","5","B6","Bean","Light",1,"0.493","0.823","0.447"
"72","12","44","120","B6","Bean","Light",1,"0","0.802","0"
