"AOI","Light","Temp","Time","Cell","Species","final","initial","post"
"1","M","48","15","A1","Bean","0","0.838","0.291"
"1","L","30","5","A1","Bean","0.786","0.808","0.758"
"1","N","48","5","A1","Bean","0.584","0.806","0.594"
"1","M","44","15","A1","Bean","0.091","0.825","0.298"
"1","L","40","60","A1","Bean","0.675","0.834","0.514"
"1","H","52","60","A1","Bean","0","0.83","0"
"1","N","44","15","A1","Bean","0.695","0.8","0.601"
"1","M","30","30","A1","Bean","0.831","0.796","0.819"
"1","M","42","15","A1","Bean","0.648","0.849","0.517"
"1","H","48","60","A1","Bean","0","0.782","0"
"1","H","48","30","A1","Bean","0","0.848","0"
"1","N","30","30","A1","Bean","0.808","0.84","0.797"
"1","L","52","15","A1","Bean","0","0.835","0"
"1","H","44","30","A1","Bean","0.261","0.822","0.204"
"1","H","42","30","A1","Bean","0.318","0.818","0.213"
"1","M","52","5","A1","Bean","0","0.816","0.311"
"1","L","48","15","A1","Bean","0.341","0.863","0.252"
"1","L","44","5","A1","Bean","0.716","0.784","0.453"
"1","H","30","15","A1","Bean","0.797","0.79","0.796"
"1","L","58","5","A1","Bean","0","0.819","0.065"
"1","L","42","15","A1","Bean","0.68","0.794",NA
"1","L","30","60","A1","Bean","0.796","0.809","0.767"
"1","N","48","60","A1","Bean","0.323","0.83","0.264"
"1","H","54","15","A1","Bean","0","0.817","0"
"1","N","44","30","A1","Bean","0.558","0.837","0.455"
"1","H","52","15","A1","Bean","0","0.802","0"
"1","H","48","5","A1","Bean","0.223","0.834","0.317"
"1","N","30","5","A1","Bean","0.862","0.86","0.82"
"1","H","44","5","A1","Bean","0.458","0.838","0.472"
"1","H","44","15","A1","Bean","0.275","0.778","0.258"
"1","M","52","60","A1","Bean","0","0.82","0"
"1","H","30","30","A1","Bean","0.814","0.816","0.801"
"1","M","48","30","A1","Bean","0","0.809","0"
"1","M","44","30","A1","Bean","0.463","0.832","0.459"
"1","M","42","30","A1","Bean","0.453","0.839","0.377"
"1","M","30","5","A1","Bean","0.805","0.806","0.81"
"1","M","30","15","A1","Bean","0.855","0.787","0.837"
"1","L","52","30","A1","Bean","0","0.839","0"
"1","L","48","30","A1","Bean","0","0.837","0.15"
"1","L","44","60","A1","Bean","0.096","0.805","0.101"
"1","L","42","30","A1","Bean","0.582","0.837","0.43"
"1","N","52","15","A1","Bean","0","0.835","0.429"
"1","H","54","5","A1","Bean","0","0.814","0.389"
"1","N","44","5","A1","Bean","0.759","0.829","0.701"
"1","H","52","30","A1","Bean","0","0.806","0"
"1","N","30","60","A1","Bean","0.829","0.829","0.799"
"1","H","44","60","A1","Bean","0.132","0.851","0.09"
"1","M","54","15","A1","Bean","0","0.814","0"
"1","H","30","5","A1","Bean","0.827","0.784","0.774"
"1","M","48","5","A1","Bean","0.29","0.822","0.309"
"1","N","52","5","A1","Bean","0.542","0.821","0.635"
"1","M","44","5","A1","Bean","0.486","0.835","0.426"
"1","L","30","15","A1","Bean","0.816","0.799","0.766"
"1","M","30","60","A1","Bean","0.809","0.767","0.734"
"1","N","42","15","A1","Bean","0.754","0.829","0.686"
"1","L","52","5","A1","Bean","0","0.79","0.479"
"1","M","58","5","A1","Bean","0","0.807","0"
"1","L","48","5","A1","Bean","0.245","0.835","0.458"
"1","H","40","60","A1","Bean","0.232","0.827","0.304"
"1","L","44","15","A1","Bean","0.166","0.806","0.338"
"1","N","52","60","A1","Bean","0","0.822","0.219"
"1","N","30","15","A1","Bean","0.808","0.822","0.841"
"1","N","52","30","A1","Bean","0.198","0.834","0.061"
"1","L","30","30","A1","Bean","0.847","0.806","0.806"
"1","H","58","5","A1","Bean","0","0.81","0"
"1","N","44","60","A1","Bean","0.551","0.804","0.385"
"1","H","52","5","A1","Bean","0.065","0.8","0.282"
"1","N","42","30","A1","Bean","0.681","0.863","0.69"
"1","N","40","60","A1","Bean","0.716","0.812","0.728"
"1","H","48","15","A1","Bean","0","0.849","0.205"
"1","M","40","60","A1","Bean","0.338","0.824","0.296"
"1","M","54","5","A1","Bean","0","0.81","0.197"
"1","H","42","15","A1","Bean","0.613","0.809","0.395"
"1","H","30","60","A1","Bean","0.802","0.806","0.746"
"1","M","48","60","A1","Bean","0","0.802","0"
"1","M","44","60","A1","Bean","0.047","0.867","0"
"1","L","44","30","A1","Bean","0.407","0.811","0.252"
"1","L","52","60","A1","Bean","0","0.846","0"
"1","L","48","60","A1","Bean","0","0.838","0"
"1","N","54","15","A1","Bean","0","0.816","0.113"
"1","N","48","15","A1","Bean","0.464","0.838","0.591"
"1","M","52","15","A1","Bean","0","0.8","0.11"
"1","N","58","5","A1","Bean","0","0.794","0.217"
"1","L","54","15","A1","Bean","0","0.812","0"
"1","N","48","30","A1","Bean","0","0.796","0.378"
"1","N","54","5","A1","Bean","0.338","0.797","0.585"
"1","M","52","30","A1","Bean","0","0.81","0"
"1","L","54","5","A1","Bean","0","0.822","0.456"
"10","N","52","15","B5","Poplar","0.148","0.856","0.558"
"10","H","52","60","B5","Poplar","0","0.858","0"
"10","N","48","60","B5","Poplar","0.623","0.852","0.502"
"10","N","48","5","B5","Poplar","0.794","0.833","0.756"
"10","N","44","30","B5","Poplar","0.817","0.855","0.789"
"10","H","54","15","B5","Poplar","0","0.846","0"
"10","N","44","15","B5","Poplar","0.847","0.834","0.769"
"10","N","52","30","B5","Poplar","0.408","0.868","0.586"
"10","L","40","60","B5","Poplar","0.837","0.844","0.644"
"10","L","30","5","B5","Poplar","0.839","0.853","0.806"
"10","N","52","5","B5","Poplar","0.689","0.859","0.736"
"10","H","54","5","B5","Poplar","0.246","0.858","0.349"
"10","M","48","15","B5","Poplar","0.563","0.863","0.46"
"10","L","42","15","B5","Poplar","0.808","0.823",NA
"10","N","44","5","B5","Poplar","0.832","0.844","0.809"
"10","M","42","15","B5","Poplar","0.815","0.876","0.642"
"10","N","48","15","B5","Poplar","0.756","0.853","0.735"
"10","M","42","30","B5","Poplar","0.8","0.854","0.507"
"10","M","48","30","B5","Poplar","0.35","0.842","0.323"
"10","L","30","60","B5","Poplar","0.843","0.843","0.814"
"10","N","30","60","B5","Poplar","0.849","0.846","0.823"
"10","L","54","15","B5","Poplar","0.226","0.834","0.14"
"10","N","40","60","B5","Poplar","0.814","0.837","0.762"
"10","N","52","60","B5","Poplar","0.276","0.858","0.365"
"10","L","42","30","B5","Poplar","0.807","0.863","0.605"
"10","N","48","30","B5","Poplar","0.594","0.827","0.319"
"10","N","44","60","B5","Poplar","0.767","0.834","0.537"
"10","H","58","5","B5","Poplar","0","0.837","0.128"
"10","M","44","15","B5","Poplar","0.771","0.863","0.638"
"10","L","30","15","B5","Poplar","0.864","0.827","0.815"
"10","N","54","15","B5","Poplar","0.549","0.837","0.605"
"10","M","48","5","B5","Poplar","0.614","0.833","0.429"
"10","L","54","5","B5","Poplar","0.41","0.846","0.54"
"10","L","58","5","B5","Poplar","0","0.847","0.245"
"10","H","48","60","B5","Poplar","0.23","0.835","0.138"
"10","L","44","15","B5","Poplar","0.775","0.842","0.472"
"10","L","48","15","B5","Poplar","0.588","0.872","0.595"
"10","M","52","5","B5","Poplar","0.505","0.852","0.476"
"10","N","54","5","B5","Poplar","0.598","0.843","0.62"
"10","H","30","15","B5","Poplar","0.835","0.815","0.79"
"10","N","42","15","B5","Poplar","0.851","0.85","0.803"
"10","L","30","30","B5","Poplar","0.867","0.831","0.816"
"10","M","48","60","B5","Poplar","0.167","0.833","0.168"
"10","M","30","60","B5","Poplar","0.856","0.834","0.808"
"10","N","42","30","B5","Poplar","0.819","0.872","0.807"
"10","H","52","15","B5","Poplar","0.158","0.845","0.313"
"10","L","52","5","B5","Poplar","0.581","0.845","0.542"
"10","M","52","60","B5","Poplar","0","0.845","0"
"10","M","54","15","B5","Poplar","0.124","0.841","0.159"
"10","M","54","5","B5","Poplar","0.374","0.832","0.217"
"10","L","48","30","B5","Poplar","0.526","0.865","0.448"
"10","M","44","30","B5","Poplar","0.681","0.854","0.573"
"10","M","40","60","B5","Poplar","0.812","0.837","0.677"
"10","M","30","15","B5","Poplar","0.867","0.823","0.849"
"10","L","52","60","B5","Poplar","0.121","0.875","0"
"10","L","44","30","B5","Poplar","0.838","0.837","0.552"
"10","H","30","30","B5","Poplar","0.819","0.83","0.788"
"10","N","58","5","B5","Poplar","0.237","0.825","0.625"
"10","M","58","5","B5","Poplar","0","0.824","0"
"10","M","52","15","B5","Poplar","0.258","0.833","0.303"
"10","H","52","30","B5","Poplar","0.106","0.835","0.065"
"10","L","44","5","B5","Poplar","0.869","0.846","0.747"
"10","H","30","5","B5","Poplar","0.861","0.836","0.815"
"10","M","44","5","B5","Poplar","0.81","0.887","0.642"
"10","N","30","30","B5","Poplar","0.837","0.866","0.834"
"10","M","44","60","B5","Poplar","0.403","0.884","0.652"
"10","L","48","5","B5","Poplar","0.693","0.865","0.633"
"10","M","30","30","B5","Poplar","0.865","0.848","0.855"
"10","M","52","30","B5","Poplar","0.09","0.837","0.05"
"10","H","30","60","B5","Poplar","0.853","0.855","0.797"
"10","H","44","30","B5","Poplar","0.742","0.849","0.647"
"10","H","52","5","B5","Poplar","0.327","0.847","0.27"
"10","N","30","5","B5","Poplar","0.866","0.874","0.833"
"10","N","30","15","B5","Poplar","0.852","0.86","0.87"
"10","H","48","15","B5","Poplar","0.401","0.871","0.514"
"10","H","44","5","B5","Poplar","0.639","0.87","0.5"
"10","H","44","60","B5","Poplar","0.567","0.88","0.426"
"10","L","44","60","B5","Poplar","0.548","0.837","0.439"
"10","L","48","60","B5","Poplar","0.367","0.877","0.261"
"10","M","30","5","B5","Poplar","0.841","0.85","0.852"
"10","L","52","15","B5","Poplar","0.42","0.855","0.277"
"10","H","40","60","B5","Poplar","0.736","0.838","0.572"
"10","L","52","30","B5","Poplar","0.088","0.864","0.088"
"10","H","42","15","B5","Poplar","0.839","0.834","0.532"
"10","H","48","30","B5","Poplar","0.247","0.882","0.382"
"10","H","42","30","B5","Poplar","0.787","0.849","0.591"
"10","H","44","15","B5","Poplar","0.791","0.819","0.631"
"10","H","48","5","B5","Poplar","0.71","0.87","0.61"
"11","N","44","30","C1","Lomandra","0.781","0.788","0.705"
"11","N","44","5","C1","Lomandra","0.821","0.816","0.788"
"11","N","48","60","C1","Lomandra","0.817","0.793","0.64"
"11","N","44","15","C1","Lomandra","0.842","0.79","0.768"
"11","N","52","5","C1","Lomandra","0.795","0.826","0.777"
"11","M","42","15","C1","Lomandra","0.745","0.788","0.652"
"11","M","48","15","C1","Lomandra","0.777","0.816","0.579"
"11","H","54","5","C1","Lomandra","0.474","0.796","0.347"
"11","N","52","15","C1","Lomandra","0.611","0.822","0.696"
"11","N","48","5","C1","Lomandra","0.814","0.773","0.749"
"11","H","52","60","C1","Lomandra","0.268","0.813","0.236"
"11","N","44","60","C1","Lomandra","0.808","0.785","0.717"
"11","N","52","30","C1","Lomandra","0.527","0.831","0.403"
"11","M","44","15","C1","Lomandra","0.712","0.81","0.562"
"11","M","42","30","C1","Lomandra","0.742","0.781","0.49"
"11","N","52","60","C1","Lomandra","0.435","0.773","0.507"
"11","L","40","60","C1","Lomandra","0.82","0.813","0.673"
"11","L","54","15","C1","Lomandra","0.591","0.776","0.395"
"11","H","54","15","C1","Lomandra","0.087","0.777","0.05"
"11","N","48","15","C1","Lomandra","0.816","0.806","0.763"
"11","M","44","30","C1","Lomandra","0.833","0.812","0.781"
"11","H","58","5","C1","Lomandra","0.124","0.796","0.189"
"11","N","48","30","C1","Lomandra","0.786","0.728","0.564"
"11","M","48","30","C1","Lomandra","0.646","0.812","0.412"
"11","L","48","15","C1","Lomandra","0.759","0.845","0.673"
"11","L","54","5","C1","Lomandra","0.655","0.779","0.464"
"11","L","42","15","C1","Lomandra","0.778","0.778",NA
"11","N","40","60","C1","Lomandra","0.77","0.787","0.777"
"11","N","42","15","C1","Lomandra","0.822","0.816","0.794"
"11","L","58","5","C1","Lomandra","0.061","0.79","0.342"
"11","N","30","60","C1","Lomandra","0.78","0.802","0.77"
"11","H","30","15","C1","Lomandra","0.785","0.774","0.761"
"11","M","44","5","C1","Lomandra","0.748","0.792","0.604"
"11","N","54","15","C1","Lomandra","0.192","0.779","0.335"
"11","L","48","30","C1","Lomandra","0.771","0.828","0.46"
"11","L","30","5","C1","Lomandra","0.798","0.81","0.763"
"11","L","30","15","C1","Lomandra","0.784","0.733","0.719"
"11","L","42","30","C1","Lomandra","0.804","0.83","0.742"
"11","M","30","60","C1","Lomandra","0.76","0.774","0.657"
"11","M","54","15","C1","Lomandra","0.195","0.812","0.111"
"11","M","48","5","C1","Lomandra","0.784","0.798","0.698"
"11","L","30","60","C1","Lomandra","0.774","0.77","0.709"
"11","H","48","60","C1","Lomandra","0.686","0.791","0.345"
"11","L","52","5","C1","Lomandra","0.625","0.8","0.618"
"11","L","44","15","C1","Lomandra","0.734","0.783","0.744"
"11","L","48","5","C1","Lomandra","0.786","0.818","0.748"
"11","N","42","30","C1","Lomandra","0.815","0.848","0.822"
"11","N","54","5","C1","Lomandra","0.691","0.785","0.665"
"11","M","54","5","C1","Lomandra","0.627","0.793","0.47"
"11","L","30","30","C1","Lomandra","0.795","0.743","0.731"
"11","M","48","60","C1","Lomandra","0.689","0.672","0.317"
"11","H","30","30","C1","Lomandra","0.772","0.761","0.742"
"11","H","52","15","C1","Lomandra","0.299","0.799","0.301"
"11","L","52","60","C1","Lomandra","0.373","0.819","0.102"
"11","M","30","15","C1","Lomandra","0.816","0.774","0.788"
"11","N","58","5","C1","Lomandra","0.341","0.791","0.562"
"11","L","48","60","C1","Lomandra","0.696","0.823","0.458"
"11","M","44","60","C1","Lomandra","0.759","0.842","0.326"
"11","M","40","60","C1","Lomandra","0.74","0.826","0.623"
"11","H","52","30","C1","Lomandra","0.377","0.791","0.352"
"11","L","44","30","C1","Lomandra","0.81","0.77","0.709"
"11","H","44","60","C1","Lomandra","0.783","0.843","0.563"
"11","H","44","30","C1","Lomandra","0.791","0.8","0.72"
"11","M","52","15","C1","Lomandra","0.639","0.8","0.538"
"11","M","58","5","C1","Lomandra","0.049","0.784","0.094"
"11","M","30","30","C1","Lomandra","0.825","0.794","0.789"
"11","H","48","15","C1","Lomandra","0.741","0.812","0.5"
"11","H","44","5","C1","Lomandra","0.768","0.847","0.637"
"11","H","52","5","C1","Lomandra","0.516","0.77","0.425"
"11","M","52","5","C1","Lomandra","0.685","0.804","0.528"
"11","H","30","5","C1","Lomandra","0.786","0.744","0.688"
"11","N","30","15","C1","Lomandra","0.79","0.815","0.833"
"11","M","30","5","C1","Lomandra","0.789","0.801","0.786"
"11","L","44","5","C1","Lomandra","0.812","0.801","0.76"
"11","L","52","15","C1","Lomandra","0.567","0.746","0.401"
"11","H","30","60","C1","Lomandra","0.778","0.784","0.662"
"11","M","52","60","C1","Lomandra","0.296","0.803","0.158"
"11","M","52","30","C1","Lomandra","0.484","0.707","0.209"
"11","L","44","60","C1","Lomandra","0.735","0.793","0.678"
"11","H","40","60","C1","Lomandra","0.699","0.808","0.656"
"11","L","52","30","C1","Lomandra","0.209","0.737","0.24"
"11","N","30","30","C1","Lomandra","0.806","0.83","0.791"
"11","H","48","30","C1","Lomandra","0.718","0.841","0.535"
"11","H","48","5","C1","Lomandra","0.705","0.814","0.494"
"11","H","42","30","C1","Lomandra","0.788","0.806","0.672"
"11","H","44","15","C1","Lomandra","0.785","0.769","0.679"
"11","N","30","5","C1","Lomandra","0.845","0.847","0.802"
"11","H","42","15","C1","Lomandra","0.791","0.788","0.67"
"12","N","44","15","C2","Poplar","0.846","0.829","0.772"
"12","N","44","60","C2","Poplar","0.823","0.848","0.778"
"12","N","44","5","C2","Poplar","0.839","0.844","0.815"
"12","N","44","30","C2","Poplar","0.774","0.847","0.754"
"12","M","48","15","C2","Poplar","0.492","0.854","0.302"
"12","N","52","15","C2","Poplar","0.322","0.859","0.684"
"12","N","48","15","C2","Poplar","0.768","0.851","0.749"
"12","H","52","60","C2","Poplar","0","0.849","0"
"12","H","54","5","C2","Poplar","0.18","0.85","0.252"
"12","N","48","5","C2","Poplar","0.797","0.83","0.746"
"12","M","48","30","C2","Poplar","0.27","0.841","0.281"
"12","L","30","15","C2","Poplar","0.863","0.815","0.808"
