"AOI","Temp","Time","Rep","Species","Leaf","final","initial","post","post-wet","final-wet"
"1","30","120","A","Bean","Whole","0.809","0.795","0.779",NA,NA
"1","30","5","B","Bean","Whole","0.823","0.827","0.808",NA,NA
"1","48","120","A","Bean","Whole","0","0.845","0",NA,NA
"1","40","5","B","Bean","Whole","0.823","0.842","0.839",NA,NA
"1","40","120","B","Bean","Whole",NA,"0.832",NA,"0.567","0.526"
"1","40","120","A","Bean","Whole","0.334","0.826","0.465",NA,NA
"1","30","30","A","Bean","Whole","0.821","0.828","0.811",NA,NA
"1","30","120","B","Bean","Whole","0.762","0.811","0.697",NA,NA
"1","48","30","B","Bean","Whole","0","0.833","0",NA,NA
"1","48","120","B","Bean","Whole","0","0.814","0",NA,NA
"1","40","5","A","Bean","Whole","0.711","0.846","0.675",NA,NA
"1","40","30","A","Bean","Whole","0.721","0.832","0.596",NA,NA
"1","48","30","A","Bean","Whole",NA,"0.819",NA,"0","0"
"1","48","5","A","Bean","Whole","0.181","0.82","0.437",NA,NA
"1","30","30","B","Bean","Whole","0.808","0.79","0.823",NA,NA
"1","40","30","B","Bean","Whole","0.403","0.774","0.271",NA,NA
"1","30","5","A","Bean","Whole","0.815","0.831","0.803",NA,NA
"1","48","5","B","Bean","Whole","0.358",NA,"0.513",NA,NA
"10","30","120","B","Euc","Cut","0.794","0.839","0.715",NA,NA
"10","30","120","A","Euc","Cut","0.778","0.816","0.726",NA,NA
"10","30","30","A","Euc","Cut","0.839","0.844","0.804",NA,NA
"10","40","120","B","Euc","Cut",NA,"0.856",NA,"0.572","0.748"
"10","48","30","B","Euc","Cut","0.296","0.86","0.17",NA,NA
"10","48","120","B","Euc","Cut","0","0.833","0",NA,NA
"10","40","5","A","Euc","Cut","0.783","0.86","0.777",NA,NA
"10","40","30","A","Euc","Cut","0.835","0.825","0.772",NA,NA
"10","30","5","B","Euc","Cut","0.833","0.848","0.822",NA,NA
"10","30","30","B","Euc","Cut","0.823","0.812","0.8",NA,NA
"10","48","5","A","Euc","Cut","0.646","0.836","0.644",NA,NA
"10","48","120","A","Euc","Cut","0","0.859","0.107",NA,NA
"10","40","5","B","Euc","Cut","0.837","0.836","0.819",NA,NA
"10","40","120","A","Euc","Cut","0.803","0.848","0.668",NA,NA
"10","48","30","A","Euc","Cut",NA,"0.84",NA,"0.086","0"
"10","40","30","B","Euc","Cut","0.799","0.822","0.606",NA,NA
"10","30","5","A","Euc","Cut","0.834","0.843","0.807",NA,NA
"10","48","5","B","Euc","Cut","0.448",NA,"0.265",NA,NA
"11","30","120","B","Euc","Whole","0.828","0.844","0.771",NA,NA
"11","30","120","A","Euc","Whole","0.747","0.8","0.643",NA,NA
"11","30","30","B","Euc","Whole","0.842","0.823","0.857",NA,NA
"11","30","30","A","Euc","Whole","0.826","0.856","0.825",NA,NA
"11","30","5","A","Euc","Whole","0.849","0.853","0.82",NA,NA
"11","48","30","B","Euc","Whole","0.367","0.86","0.317",NA,NA
"11","40","30","A","Euc","Whole","0.837","0.821","0.803",NA,NA
"11","30","5","B","Euc","Whole","0.81","0.85","0.821",NA,NA
"11","40","5","A","Euc","Whole","0.806","0.864","0.798",NA,NA
"11","48","120","A","Euc","Whole","0","0.865","0",NA,NA
"11","40","5","B","Euc","Whole","0.834","0.841","0.832",NA,NA
"11","48","120","B","Euc","Whole","0","0.844","0",NA,NA
"11","48","5","A","Euc","Whole","0.639","0.823","0.472",NA,NA
"11","40","120","A","Euc","Whole","0.748","0.836","0.623",NA,NA
"11","40","120","B","Euc","Whole",NA,"0.866",NA,"0.601","0.783"
"11","48","30","A","Euc","Whole",NA,"0.842",NA,"0","0.076"
"11","40","30","B","Euc","Whole","0.805","0.813","0.731",NA,NA
