AOI,FvFm,Temp,Time,Measurement,Cell,Species,Collection
1,0,48,120,16hour_post,A1,Poplar,24
1,0.788,40,30,16hour_post,A1,Poplar,24
1,0.468,48,30,16hour_post,A1,Poplar,24
1,0.79,40,5,16hour_post,A1,Poplar,24
1,0.771,40,120,16hour_post,A1,Poplar,24
1,0.788,30,30,16hour_post,A1,Poplar,24
1,0.716,48,5,16hour_post,A1,Poplar,24
1,0.779,30,120,16hour_post,A1,Poplar,24
1,0.802,30,5,16hour_post,A1,Poplar,24
10,0.789,30,30,16hour_post,B3,Poplar,3
10,0.78,40,30,16hour_post,B3,Poplar,3
10,0.08,48,30,16hour_post,B3,Poplar,3
10,0.734,40,120,16hour_post,B3,Poplar,3
10,0.772,30,120,16hour_post,B3,Poplar,3
10,0.805,40,5,16hour_post,B3,Poplar,3
10,0,48,120,16hour_post,B3,Poplar,3
10,0.816,30,5,16hour_post,B3,Poplar,3
10,0.57,48,5,16hour_post,B3,Poplar,3
11,0.736,40,5,16hour_post,B4,Euc,12
11,0.769,30,30,16hour_post,B4,Euc,12
11,0,48,120,16hour_post,B4,Euc,12
11,0.651,40,30,16hour_post,B4,Euc,12
11,0,48,30,16hour_post,B4,Euc,12
11,0.533,40,120,16hour_post,B4,Euc,12
11,0.797,30,5,16hour_post,B4,Euc,12
11,0.713,30,120,16hour_post,B4,Euc,12
11,0.518,48,5,16hour_post,B4,Euc,12
12,0,48,120,16hour_post,B5,Lomandra,0
12,0.317,48,30,16hour_post,B5,Lomandra,0
12,0.754,40,5,16hour_post,B5,Lomandra,0
12,0.719,30,30,16hour_post,B5,Lomandra,0
12,0.706,48,5,16hour_post,B5,Lomandra,0
12,0.779,30,5,16hour_post,B5,Lomandra,0
12,0.761,40,30,16hour_post,B5,Lomandra,0
12,0.679,30,120,16hour_post,B5,Lomandra,0
12,0.614,40,120,16hour_post,B5,Lomandra,0
13,0.767,40,5,16hour_post,B6,Lomandra,3
13,0.374,48,120,16hour_post,B6,Lomandra,3
13,0.727,48,5,16hour_post,B6,Lomandra,3
13,0.586,48,30,16hour_post,B6,Lomandra,3
13,0.709,30,30,16hour_post,B6,Lomandra,3
13,0.71,40,120,16hour_post,B6,Lomandra,3
13,0.768,30,5,16hour_post,B6,Lomandra,3
13,0.724,40,30,16hour_post,B6,Lomandra,3
13,0.724,30,120,16hour_post,B6,Lomandra,3
14,0.633,48,30,16hour_post,B7,Lomandra,0
14,0.78,30,30,16hour_post,B7,Lomandra,0
14,0.785,40,5,16hour_post,B7,Lomandra,0
14,0.406,48,120,16hour_post,B7,Lomandra,0
14,0.761,48,5,16hour_post,B7,Lomandra,0
14,0.697,30,120,16hour_post,B7,Lomandra,0
14,0.758,30,5,16hour_post,B7,Lomandra,0
14,0.786,40,30,16hour_post,B7,Lomandra,0
14,0.678,40,120,16hour_post,B7,Lomandra,0
15,0.22,48,120,16hour_post,C1,Poplar,24
15,0.792,30,120,16hour_post,C1,Poplar,24
