AOI,Temp,Time,Cell,Species,Collection,Initial,30min_post,2hour_post,7hour_post,16hour_post,24hour_post
1,30,120,A1,Poplar,24,0.835,0.769,0.775,0.792,0.779,0.776
1,40,5,A1,Poplar,24,0.814,0.762,0.848,0.817,0.79,0.787
1,48,120,A1,Poplar,24,0.825,0,0,0,0,0
1,40,30,A1,Poplar,24,0.796,0.669,0.815,0.83,0.788,0.789
1,48,30,A1,Poplar,24,0.822,0.45,0.496,0.557,0.468,0.394
1,30,30,A1,Poplar,24,0.788,0.741,0.81,0.82,0.788,0.787
1,48,5,A1,Poplar,24,0.827,0.67,0.749,0.694,0.716,0.72
1,40,120,A1,Poplar,24,0.821,0.6,0.762,0.649,0.771,0.785
1,30,5,A1,Poplar,24,0.788,0.811,0.825,0.819,0.802,0.776
10,30,30,B3,Poplar,3,0.812,0.738,0.789,0.812,0.789,0.793
10,40,5,B3,Poplar,3,0.838,0.772,0.847,0.831,0.805,0.815
10,40,30,B3,Poplar,3,0.818,0.616,0.789,0.813,0.78,0.778
10,30,120,B3,Poplar,3,0.831,0.718,0.737,0.778,0.772,0.768
10,48,120,B3,Poplar,3,0.844,0,0,0.167,0,0
10,48,30,B3,Poplar,3,0.839,0.128,0.182,0.214,0.08,0
10,48,5,B3,Poplar,3,0.851,0.571,0.66,0.612,0.57,0.578
10,30,5,B3,Poplar,3,0.816,0.807,0.819,0.821,0.816,0.797
10,40,120,B3,Poplar,3,0.834,0.555,0.681,0.667,0.734,0.755
11,40,5,B4,Euc,12,0.817,0.745,0.809,0.781,0.736,0.767
11,30,30,B4,Euc,12,0.81,0.689,0.755,0.772,0.769,0.765
11,30,120,B4,Euc,12,0.831,0.618,0.593,0.716,0.713,0.732
11,40,30,B4,Euc,12,0.82,0.508,0.641,0.74,0.651,0.559
11,48,30,B4,Euc,12,0.837,0,0.125,0.208,0,0
11,48,120,B4,Euc,12,0.839,0,0,0.111,0,0
11,30,5,B4,Euc,12,0.821,0.806,0.806,0.802,0.797,0.77
11,40,120,B4,Euc,12,0.819,0,0,0.421,0.533,0.598
11,48,5,B4,Euc,12,0.848,0.459,0.6,0.446,0.518,0.489
12,40,5,B5,Lomandra,0,0.795,0.743,0.819,0.79,0.754,0.778
12,48,120,B5,Lomandra,0,0.794,0,0,0,0,0
12,30,5,B5,Lomandra,0,0.778,0.768,0.776,0.784,0.779,0.773
12,30,30,B5,Lomandra,0,0.748,0.63,0.699,0.734,0.719,0.726
12,40,120,B5,Lomandra,0,0.803,0.537,0.597,0.559,0.614,0.661
12,30,120,B5,Lomandra,0,0.816,0.649,0.674,0.708,0.679,0.693
12,40,30,B5,Lomandra,0,0.783,0.664,0.781,0.798,0.761,0.763
12,48,30,B5,Lomandra,0,0.804,0.302,0.339,0.409,0.317,0.268
