"Time","T50","T50_sd","unique_sample"
5,44.8020112167791,2.07009650152505,1
15,43.2122161336422,1.0678360078589,1
30,41.7773348050023,1.56625383434236,1
60,40.4533022568957,1.57088845918042,1
5,45.1681888738995,1.93978104122078,2
15,43.0954113614744,1.00991155969908,2
30,41.3242607702879,1.64622803564336,2
60,40.4087194894426,1.48687297512135,2
5,46.4513827935981,1.49830986380049,3
15,42.258779779782,1.13468119211679,3
30,39.6162811996399,1.41839255048452,3
60,39.1076549889656,1.78645985510883,3
5,44.9415006497893,2.35895321604675,4
15,42.712192826779,0.739905306924496,4
30,39.6711866964626,1.62042621380821,4
60,38.790160821133,1.69806836215486,4
5,47.8799770607114,1.68091934983951,5
15,43.3680737027177,0.840376979900364,5
30,40.3675635004541,1.26822223052935,5
60,38.9284084420344,1.40818614495863,5
