unique_sample,response_type,threshold,Time,temperature,temperature_sd
1,fvfm_io,T90,5,49.436076285116336,1.9683284616605317
1,fvfm_io,T90,15,46.77518980867021,1.274387556292928
1,fvfm_io,T90,30,45.73417423857191,1.4571918667197672
1,fvfm_io,T90,60,44.741970408255035,1.823306565599581
2,fvfm_io,T90,5,50.17697312768117,2.1200915922586967
2,fvfm_io,T90,15,47.16493823297394,1.209627929131808
2,fvfm_io,T90,30,45.909102115949196,1.4676966499860824
2,fvfm_io,T90,60,44.77762506953109,1.5093959440551068
3,fvfm_io,T90,5,54.74050081198141,3.3171805016679152
3,fvfm_io,T90,15,47.92473684012335,1.5104024786208772
3,fvfm_io,T90,30,45.84124315970411,1.3189759112988602
3,fvfm_io,T90,60,44.081003880302774,1.0897213126613168
4,fvfm_io,T90,5,49.58281833045834,2.2116013600389355
4,fvfm_io,T90,15,46.59222485529062,0.9999600588156377
4,fvfm_io,T90,30,44.77032667725,1.1063441426229397
4,fvfm_io,T90,60,43.535357074761905,0.8926512836737259
5,fvfm_io,T90,5,54.785987482605385,2.9499441270722104
5,fvfm_io,T90,15,48.932139435680455,1.3530098818456529
5,fvfm_io,T90,30,46.499068840112436,1.13392478477573
5,fvfm_io,T90,60,44.23532189084065,0.9605365693208351
1,fvfm_io,T50,5,44.80201121677907,2.0700965015250494
1,fvfm_io,T50,15,43.21221613364222,1.067836007858902
1,fvfm_io,T50,30,41.777334805002255,1.5662538343423638
1,fvfm_io,T50,60,40.453302256895746,1.5708884591804204
2,fvfm_io,T50,5,45.168188873899496,1.9397810412207819
2,fvfm_io,T50,15,43.09541136147438,1.0099115596990806
2,fvfm_io,T50,30,41.3242607702879,1.646228035643359
2,fvfm_io,T50,60,40.408719489442554,1.4868729751213525
3,fvfm_io,T50,5,46.451382793598114,1.4983098638004875
3,fvfm_io,T50,15,42.25877977978199,1.134681192116786
3,fvfm_io,T50,30,39.61628119963988,1.4183925504845187
3,fvfm_io,T50,60,39.10765498896562,1.7864598551088293
4,fvfm_io,T50,5,44.941500649789326,2.3589532160467495
4,fvfm_io,T50,15,42.71219282677901,0.7399053069244956
