unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
1,fvfm_io,T90,44.47379482806318,52.360665730199734,-4.435433094026694,-4.435433094026695,0.9804373588403946,0.9804373588403946,TRUE,NA
2,fvfm_io,T90,44.47907837774818,53.55010917606772,-5.101383133950179,-5.10138313395018,0.9827052399873785,0.9827052399873785,TRUE,NA
3,fvfm_io,T90,42.99469005855464,61.48127683478677,-10.39652097775348,-10.396520977753484,0.9518906229977022,0.9518906229977022,TRUE,NA
4,fvfm_io,T90,43.28001882775112,53.47083255626102,-5.731128736270992,-5.7311287362709935,0.9926492700886149,0.9926492700886149,TRUE,NA
5,fvfm_io,T90,43.683962724949595,61.37034945627313,-9.946502991524273,-9.946502991524273,0.9837834000621334,0.9837834000621334,TRUE,NA
1,fvfm_io,T50,40.539294521281114,47.794169291047325,-4.080009936275632,-4.080009936275633,0.9929971782904599,0.9929971782904599,TRUE,NA
2,fvfm_io,T50,40.227198403753746,48.37919059065157,-4.584532494150307,-4.584532494150308,0.9906571500147484,0.9906571500147484,TRUE,NA
3,fvfm_io,T50,38.14937307275551,51.458212906616595,-7.484650043684217,-7.48465004368422,0.95099273291072,0.9509927329107197,TRUE,NA
4,fvfm_io,T50,38.42873812183989,49.55195502361187,-6.255495363159965,-6.255495363159967,0.9651979205421839,0.9651979205421839,TRUE,NA
5,fvfm_io,T50,38.34298012883046,53.746823191771206,-8.662841847462241,-8.662841847462243,0.9841755187657336,0.9841755187657336,TRUE,NA
1,fvfm_io,T10,33.09255009087528,38.894243502396634,-3.262767107280447,-3.2627671072804483,0.39301570350546045,0.39301570350546033,TRUE,NA
2,fvfm_io,T10,33.07785937142212,37.121588000960415,-2.274119610840664,-2.274119610840665,0.5880863466738883,0.5880863466738884,TRUE,NA
3,fvfm_io,T10,31.758447230021407,35.794119885005784,-2.2695890769211355,-2.269589076921136,0.7889478757310009,0.7889478757310011,TRUE,NA
4,fvfm_io,T10,32.364690043471725,37.23314832534283,-2.7379326032139915,-2.7379326032139923,0.9584131504493386,0.9584131504493386,TRUE,NA
5,fvfm_io,T10,30.980059416764615,40.52439531374551,-5.367561333672633,-5.367561333672634,0.9082658810188433,0.9082658810188435,TRUE,NA
1,fvfm_if,T90,44.486226735610096,64.17362259529904,-11.071834218512793,-11.071834218512794,0.979192101684054,0.979192101684054,TRUE,NA
2,fvfm_if,T90,45.58302725206191,63.87878769083052,-10.289203707964223,-10.289203707964226,0.9739847140900632,0.9739847140900632,TRUE,NA
3,fvfm_if,T90,44.444465849030344,64.86803807885033,-11.485846451708488,-11.485846451708493,0.9478589721417522,0.9478589721417522,TRUE,NA
4,fvfm_if,T90,40.51590398985651,65.84789198088545,-14.246250416303702,-14.246250416303706,0.947920035158902,0.947920035158902,TRUE,NA
5,fvfm_if,T90,41.732493218240194,68.46515964368572,-15.033966553563896,-15.033966553563896,0.9439757910801285,0.9439757910801286,TRUE,NA
1,fvfm_if,T50,38.37715834829029,53.55669549157286,-8.536696268108528,-8.536696268108528,0.9853235876384391,0.9853235876384391,TRUE,NA
2,fvfm_if,T50,39.438323235923015,52.20369306989883,-7.179012376602738,-7.179012376602738,0.9795830096495982,0.9795830096495982,TRUE,NA
3,fvfm_if,T50,38.75404220413106,50.67018249233426,-6.7014210886909895,-6.701421088690991,0.9360653296869756,0.9360653296869754,TRUE,NA
4,fvfm_if,T50,34.944769592592344,54.771592960264904,-11.150245719195617,-11.150245719195617,0.9442641639849688,0.9442641639849687,TRUE,NA
5,fvfm_if,T50,36.6231480333964,56.15002683060167,-10.981562335033228,-10.981562335033233,0.9535756604535074,0.9535756604535074,TRUE,NA
1,fvfm_if,T10,31.006702555030923,38.151345560052206,-4.018017591855466,-4.018017591855467,0.9238477328320269,0.9238477328320271,TRUE,NA
2,fvfm_if,T10,31.618144891797158,35.73376108503402,-2.314547872319016,-2.3145478723190163,0.8600163345563655,0.8600163345563655,TRUE,NA
3,fvfm_if,T10,31.517070783636413,34.403375727288285,-1.6232055304795572,-1.6232055304795576,0.37689838439450435,0.37689838439450435,TRUE,NA
4,fvfm_if,T10,30.29419987564268,37.23448855053742,-3.903092424447777,-3.903092424447777,0.9089793292929551,0.908979329292955,TRUE,NA
5,fvfm_if,T10,30.66508204243415,38.603292318062095,-4.464305426163969,-4.464305426163969,0.8966295465650631,0.896629546565063,TRUE,NA
1,fvfm_absolute,T0.3,40.323638322418056,48.215418582878,-4.4381940280711545,-4.438194028071155,0.9973463134688999,0.9973463134688999,TRUE,NA
2,fvfm_absolute,T0.3,40.03669783787778,49.12571461781325,-5.111498123668879,-5.111498123668881,0.9963339859316608,0.9963339859316608,TRUE,NA
3,fvfm_absolute,T0.3,38.59850874349058,53.272619957202735,-8.252453895891117,-8.252453895891117,0.9720502214033858,0.9720502214033858,TRUE,NA
4,fvfm_absolute,T0.3,38.34848624003887,49.76518679702557,-6.420545245812747,-6.420545245812747,0.9926258903254193,0.9926258903254195,TRUE,NA
5,fvfm_absolute,T0.3,38.6548719865546,55.64976261884189,-9.557618132102412,-9.557618132102412,0.9794499469040797,0.9794499469040797,TRUE,NA
