"","X","AOI","Temp","Time","Cell","Species","Recovery","Day","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample","Species_sample"
"1",1,1,30,60,"A1","Vicia faba","Light",1,0.816,0.833,0.802,0.979591836734694,1,"Vicia faba_1"
"2",2,1,35,30,"A1","Vicia faba","Light",1,0.774,0.819,0.756,0.945054945054945,1,"Vicia faba_1"
"3",3,1,48,5,"A1","Vicia faba","Light",1,0.313,0.835,NA,0.374850299401198,1,"Vicia faba_1"
"4",4,1,35,60,"A1","Vicia faba","Light",1,0.73,0.808,0.724,0.903465346534653,1,"Vicia faba_1"
"5",5,1,44,60,"A1","Vicia faba","Light",1,0,0.803,0,0,1,"Vicia faba_1"
"6",6,1,40,120,"A1","Vicia faba","Light",1,0.504,0.816,0.571,0.61764705882353,1,"Vicia faba_1"
"7",7,1,44,5,"A1","Vicia faba","Light",1,0.429,0.804,0.462,0.533582089552239,1,"Vicia faba_1"
"8",8,1,52,30,"A1","Vicia faba","Light",1,0,0.765,0,0,1,"Vicia faba_1"
"9",9,1,44,15,"A1","Vicia faba","Light",1,0.232,0.792,0.211,0.292929292929293,1,"Vicia faba_1"
"10",10,1,40,60,"A1","Vicia faba","Light",1,0.687,0.834,0.797,0.823741007194245,1,"Vicia faba_1"
"11",11,1,48,30,"A1","Vicia faba","Light",1,0,0.816,0,0,1,"Vicia faba_1"
"12",12,1,40,30,"A1","Vicia faba","Light",1,0.721,0.811,0.604,0.889025893958076,1,"Vicia faba_1"
"13",13,1,35,120,"A1","Vicia faba","Light",1,0.76,0.829,0.686,0.916767189384801,1,"Vicia faba_1"
"14",14,1,44,30,"A1","Vicia faba","Light",1,0.221,0.8,0.079,0.27625,1,"Vicia faba_1"
"15",15,1,40,15,"A1","Vicia faba","Light",1,0.784,0.838,0.73,0.935560859188544,1,"Vicia faba_1"
"16",16,1,44,120,"A1","Vicia faba","Light",1,0,0.801,0,0,1,"Vicia faba_1"
"17",17,1,48,60,"A1","Vicia faba","Light",1,0,0.801,0,0,1,"Vicia faba_1"
"18",18,1,52,5,"A1","Vicia faba","Light",1,0,0.811,0,0,1,"Vicia faba_1"
"19",19,1,52,15,"A1","Vicia faba","Light",1,0,0.806,0,0,1,"Vicia faba_1"
"20",20,10,48,60,"B4","Lomandra longifolia","Light",1,0.406,0.784,0.325,0.517857142857143,2,"Lomandra longifolia_2"
"21",21,10,44,120,"B4","Lomandra longifolia","Light",1,0.616,0.74,0.414,0.832432432432432,2,"Lomandra longifolia_2"
"22",22,10,44,15,"B4","Lomandra longifolia","Light",1,0.696,0.772,0.584,0.901554404145078,2,"Lomandra longifolia_2"
"23",23,10,30,60,"B4","Lomandra longifolia","Light",1,0.712,0.8,0.625,0.89,2,"Lomandra longifolia_2"
"24",24,10,52,30,"B4","Lomandra longifolia","Light",1,0.044,0.78,0.04,0.0564102564102564,2,"Lomandra longifolia_2"
"25",25,10,44,30,"B4","Lomandra longifolia","Light",1,0.765,0.773,0.71,0.989650711513583,2,"Lomandra longifolia_2"
"26",26,10,48,30,"B4","Lomandra longifolia","Light",1,0.498,0.773,0.236,0.644243208279431,2,"Lomandra longifolia_2"
"27",27,10,40,30,"B4","Lomandra longifolia","Light",1,0.739,0.768,0.663,0.962239583333333,2,"Lomandra longifolia_2"
"28",28,10,35,30,"B4","Lomandra longifolia","Light",1,0.715,0.779,0.663,0.917843388960205,2,"Lomandra longifolia_2"
"29",29,10,35,60,"B4","Lomandra longifolia","Light",1,0.696,0.766,0.676,0.908616187989556,2,"Lomandra longifolia_2"
"30",30,10,44,5,"B4","Lomandra longifolia","Light",1,0.695,0.783,0.618,0.887611749680715,2,"Lomandra longifolia_2"
"31",31,10,35,120,"B4","Lomandra longifolia","Light",1,0.728,0.8,0.678,0.91,2,"Lomandra longifolia_2"
"32",32,10,40,120,"B4","Lomandra longifolia","Light",1,0.747,0.803,0.662,0.930261519302615,2,"Lomandra longifolia_2"
"33",33,10,52,15,"B4","Lomandra longifolia","Light",1,0.133,0.785,0.225,0.169426751592357,2,"Lomandra longifolia_2"
"34",34,10,48,5,"B4","Lomandra longifolia","Light",1,0.62,0.764,NA,0.81151832460733,2,"Lomandra longifolia_2"
"35",35,10,40,60,"B4","Lomandra longifolia","Light",1,0.705,0.77,0.793,0.915584415584416,2,"Lomandra longifolia_2"
"36",36,10,52,5,"B4","Lomandra longifolia","Light",1,0.372,0.792,0.333,0.46969696969697,2,"Lomandra longifolia_2"
"37",37,10,44,60,"B4","Lomandra longifolia","Light",1,0.774,0.767,0.486,1,2,"Lomandra longifolia_2"
"38",38,10,40,15,"B4","Lomandra longifolia","Light",1,0.731,0.813,0.673,0.899138991389914,2,"Lomandra longifolia_2"
"39",39,11,52,15,"B5","Vicia faba","Light",1,0,0.807,0,0,3,"Vicia faba_3"
"40",40,11,44,30,"B5","Vicia faba","Light",1,0.183,0.814,0.189,0.224815724815725,3,"Vicia faba_3"
"41",41,11,44,120,"B5","Vicia faba","Light",1,0,0.796,0,0,3,"Vicia faba_3"
"42",42,11,44,60,"B5","Vicia faba","Light",1,0,0.802,0,0,3,"Vicia faba_3"
"43",43,11,44,5,"B5","Vicia faba","Light",1,0.477,0.818,0.426,0.583129584352078,3,"Vicia faba_3"
"44",44,11,48,30,"B5","Vicia faba","Light",1,0,0.805,0,0,3,"Vicia faba_3"
"45",45,11,40,120,"B5","Vicia faba","Light",1,0.294,0.8,0.262,0.3675,3,"Vicia faba_3"
"46",46,11,48,60,"B5","Vicia faba","Light",1,0,0.804,0,0,3,"Vicia faba_3"
"47",47,11,40,15,"B5","Vicia faba","Light",1,0.734,0.832,0.641,0.882211538461538,3,"Vicia faba_3"
"48",48,11,30,60,"B5","Vicia faba","Light",1,0.803,0.828,0.76,0.969806763285024,3,"Vicia faba_3"
"49",49,11,44,15,"B5","Vicia faba","Light",1,0.086,0.801,0,0.107365792759051,3,"Vicia faba_3"
"50",50,11,40,30,"B5","Vicia faba","Light",1,0.752,0.81,0.672,0.928395061728395,3,"Vicia faba_3"
"51",51,11,35,60,"B5","Vicia faba","Light",1,0.716,0.801,0.727,0.893882646691635,3,"Vicia faba_3"
"52",52,11,35,30,"B5","Vicia faba","Light",1,0.77,0.797,0.741,0.96612296110414,3,"Vicia faba_3"
"53",53,11,35,120,"B5","Vicia faba","Light",1,0.675,0.814,0.628,0.829238329238329,3,"Vicia faba_3"
"54",54,11,52,30,"B5","Vicia faba","Light",1,0,0.786,0,0,3,"Vicia faba_3"
"55",55,11,52,5,"B5","Vicia faba","Light",1,0,0.828,0,0,3,"Vicia faba_3"
"56",56,11,40,60,"B5","Vicia faba","Light",1,0.357,0.827,0.631,0.431680773881499,3,"Vicia faba_3"
"57",57,11,48,5,"B5","Vicia faba","Light",1,0.11,0.838,NA,0.13126491646778,3,"Vicia faba_3"
"58",58,12,40,120,"B6","Vicia faba","Light",1,0.287,0.807,0.297,0.355638166047088,4,"Vicia faba_4"
"59",59,12,48,30,"B6","Vicia faba","Light",1,0,0.813,0,0,4,"Vicia faba_4"
"60",60,12,44,30,"B6","Vicia faba","Light",1,0.194,0.818,0.219,0.237163814180929,4,"Vicia faba_4"
"61",61,12,48,5,"B6","Vicia faba","Light",1,0,0.807,NA,0,4,"Vicia faba_4"
"62",62,12,52,15,"B6","Vicia faba","Light",1,0,0.804,0,0,4,"Vicia faba_4"
"63",63,12,30,60,"B6","Vicia faba","Light",1,0.778,0.83,0.767,0.937349397590362,4,"Vicia faba_4"
"64",64,12,48,60,"B6","Vicia faba","Light",1,0,0.804,0,0,4,"Vicia faba_4"
"65",65,12,40,30,"B6","Vicia faba","Light",1,0.749,0.816,0.687,0.917892156862745,4,"Vicia faba_4"
"66",66,12,40,15,"B6","Vicia faba","Light",1,0.739,0.802,0.668,0.9214463840399,4,"Vicia faba_4"
"67",67,12,40,60,"B6","Vicia faba","Light",1,0.446,0.834,0.654,0.534772182254197,4,"Vicia faba_4"
"68",68,12,35,30,"B6","Vicia faba","Light",1,0.775,0.806,0.731,0.961538461538461,4,"Vicia faba_4"
"69",69,12,52,30,"B6","Vicia faba","Light",1,0,0.798,0,0,4,"Vicia faba_4"
"70",70,12,44,15,"B6","Vicia faba","Light",1,0.121,0.801,0.057,0.151061173533084,4,"Vicia faba_4"
"71",71,12,44,5,"B6","Vicia faba","Light",1,0.493,0.823,0.447,0.59902794653706,4,"Vicia faba_4"
"72",72,12,44,120,"B6","Vicia faba","Light",1,0,0.802,0,0,4,"Vicia faba_4"
"73",73,12,35,120,"B6","Vicia faba","Light",1,0.742,0.825,0.674,0.899393939393939,4,"Vicia faba_4"
"74",74,12,52,5,"B6","Vicia faba","Light",1,0,0.84,0,0,4,"Vicia faba_4"
"75",75,12,35,60,"B6","Vicia faba","Light",1,0.723,0.805,0.699,0.898136645962733,4,"Vicia faba_4"
"76",76,12,44,60,"B6","Vicia faba","Light",1,0,0.794,0,0,4,"Vicia faba_4"
"77",77,13,35,120,"C1","Populus nigra","Light",1,0.783,0.857,0.749,0.91365227537923,5,"Populus nigra_5"
"78",78,13,52,15,"C1","Populus nigra","Light",1,0,0.834,0.15,0,5,"Populus nigra_5"
"79",79,13,48,60,"C1","Populus nigra","Light",1,0.139,0.814,0.079,0.170761670761671,5,"Populus nigra_5"
"80",80,13,30,60,"C1","Populus nigra","Light",1,0.86,0.859,0.837,1,5,"Populus nigra_5"
"81",81,13,40,15,"C1","Populus nigra","Light",1,0.823,0.852,0.789,0.965962441314554,5,"Populus nigra_5"
"82",82,13,40,120,"C1","Populus nigra","Light",1,0.771,0.83,0.668,0.928915662650602,5,"Populus nigra_5"
"83",83,13,44,5,"C1","Populus nigra","Light",1,0.789,0.821,0.664,0.961023142509135,5,"Populus nigra_5"
"84",84,13,44,60,"C1","Populus nigra","Light",1,0.351,0.837,0,0.419354838709677,5,"Populus nigra_5"
"85",85,13,48,30,"C1","Populus nigra","Light",1,0.266,0.83,0.248,0.320481927710843,5,"Populus nigra_5"
"86",86,13,48,5,"C1","Populus nigra","Light",1,0.646,0.853,NA,0.757327080890973,5,"Populus nigra_5"
"87",87,13,52,30,"C1","Populus nigra","Light",1,0,0.798,0,0,5,"Populus nigra_5"
"88",88,13,35,30,"C1","Populus nigra","Light",1,0.825,0.846,0.781,0.975177304964539,5,"Populus nigra_5"
"89",89,13,40,30,"C1","Populus nigra","Light",1,0.811,0.823,0.731,0.985419198055893,5,"Populus nigra_5"
"90",90,13,44,30,"C1","Populus nigra","Light",1,0.651,0.828,0.569,0.786231884057971,5,"Populus nigra_5"
"91",91,13,44,15,"C1","Populus nigra","Light",1,0.708,0.829,0.545,0.854041013268999,5,"Populus nigra_5"
"92",92,13,35,60,"C1","Populus nigra","Light",1,0.783,0.821,0.765,0.953714981729598,5,"Populus nigra_5"
"93",93,13,44,120,"C1","Populus nigra","Light",1,0.427,0.837,0.307,0.51015531660693,5,"Populus nigra_5"
"94",94,13,40,60,"C1","Populus nigra","Light",1,0.766,0.837,0.818,0.915173237753883,5,"Populus nigra_5"
"95",95,13,52,5,"C1","Populus nigra","Light",1,0.047,0.841,0,0.0558858501783591,5,"Populus nigra_5"
"96",96,14,52,15,"C2","Eucalyptus pauciflora","Light",1,0,0.825,0,0,6,"Eucalyptus pauciflora_6"
"97",97,14,48,60,"C2","Eucalyptus pauciflora","Light",1,0.138,0.801,0,0.172284644194757,6,"Eucalyptus pauciflora_6"
"98",98,14,30,60,"C2","Eucalyptus pauciflora","Light",1,0.791,0.836,0.739,0.946172248803828,6,"Eucalyptus pauciflora_6"
"99",99,14,52,30,"C2","Eucalyptus pauciflora","Light",1,0,0.804,0,0,6,"Eucalyptus pauciflora_6"
"100",100,14,40,30,"C2","Eucalyptus pauciflora","Light",1,0.76,0.798,0.646,0.952380952380952,6,"Eucalyptus pauciflora_6"
"101",101,14,44,60,"C2","Eucalyptus pauciflora","Light",1,0,0.819,0,0,6,"Eucalyptus pauciflora_6"
"102",102,14,44,30,"C2","Eucalyptus pauciflora","Light",1,0.552,0.807,0.362,0.684014869888476,6,"Eucalyptus pauciflora_6"
"103",103,14,44,15,"C2","Eucalyptus pauciflora","Light",1,0.753,0.812,0.551,0.927339901477832,6,"Eucalyptus pauciflora_6"
"104",104,14,44,5,"C2","Eucalyptus pauciflora","Light",1,0.772,0.804,0.617,0.960199004975124,6,"Eucalyptus pauciflora_6"
"105",105,14,40,120,"C2","Eucalyptus pauciflora","Light",1,0.615,0.819,0.664,0.750915750915751,6,"Eucalyptus pauciflora_6"
"106",106,14,48,5,"C2","Eucalyptus pauciflora","Light",1,0.386,0.817,NA,0.472460220318237,6,"Eucalyptus pauciflora_6"
"107",107,14,35,60,"C2","Eucalyptus pauciflora","Light",1,0.675,0.808,0.739,0.83539603960396,6,"Eucalyptus pauciflora_6"
"108",108,14,35,120,"C2","Eucalyptus pauciflora","Light",1,0.752,0.83,0.707,0.906024096385542,6,"Eucalyptus pauciflora_6"
"109",109,14,40,60,"C2","Eucalyptus pauciflora","Light",1,0.754,0.835,0.799,0.902994011976048,6,"Eucalyptus pauciflora_6"
"110",110,14,52,5,"C2","Eucalyptus pauciflora","Light",1,0.125,0.815,0.15,0.153374233128834,6,"Eucalyptus pauciflora_6"
"111",111,14,35,30,"C2","Eucalyptus pauciflora","Light",1,0.763,0.827,0.726,0.92261185006046,6,"Eucalyptus pauciflora_6"
"112",112,14,40,15,"C2","Eucalyptus pauciflora","Light",1,0.768,0.823,0.752,0.933171324422843,6,"Eucalyptus pauciflora_6"
"113",113,14,48,30,"C2","Eucalyptus pauciflora","Light",1,0,0.821,0,0,6,"Eucalyptus pauciflora_6"
"114",114,14,44,120,"C2","Eucalyptus pauciflora","Light",1,0.609,0.813,0,0.749077490774908,6,"Eucalyptus pauciflora_6"
"115",115,15,48,60,"C3","Lomandra longifolia","Light",1,0.356,0.785,0.147,0.453503184713376,7,"Lomandra longifolia_7"
"116",116,15,44,60,"C3","Lomandra longifolia","Light",1,0.608,0.788,0.341,0.771573604060914,7,"Lomandra longifolia_7"
"117",117,15,52,30,"C3","Lomandra longifolia","Light",1,0.045,0.75,0.041,0.06,7,"Lomandra longifolia_7"
"118",118,15,35,30,"C3","Lomandra longifolia","Light",1,0.738,0.783,0.691,0.942528735632184,7,"Lomandra longifolia_7"
"119",119,15,44,5,"C3","Lomandra longifolia","Light",1,0.707,0.77,0.656,0.918181818181818,7,"Lomandra longifolia_7"
"120",120,15,35,120,"C3","Lomandra longifolia","Light",1,0.73,0.796,0.684,0.917085427135678,7,"Lomandra longifolia_7"
"121",121,15,48,5,"C3","Lomandra longifolia","Light",1,0.732,0.796,NA,0.919597989949749,7,"Lomandra longifolia_7"
"122",122,15,40,30,"C3","Lomandra longifolia","Light",1,0.763,0.778,0.688,0.980719794344473,7,"Lomandra longifolia_7"
"123",123,15,52,15,"C3","Lomandra longifolia","Light",1,0.101,0.791,0.18,0.127686472819216,7,"Lomandra longifolia_7"
"124",124,15,35,60,"C3","Lomandra longifolia","Light",1,0.728,0.768,0.697,0.947916666666667,7,"Lomandra longifolia_7"
"125",125,15,40,60,"C3","Lomandra longifolia","Light",1,0.737,0.815,0.783,0.904294478527607,7,"Lomandra longifolia_7"
"126",126,15,48,30,"C3","Lomandra longifolia","Light",1,0.529,0.788,0.245,0.671319796954315,7,"Lomandra longifolia_7"
"127",127,15,40,120,"C3","Lomandra longifolia","Light",1,0.727,0.775,0.569,0.938064516129032,7,"Lomandra longifolia_7"
"128",128,15,44,120,"C3","Lomandra longifolia","Light",1,0.671,0.796,0.437,0.842964824120603,7,"Lomandra longifolia_7"
"129",129,15,30,60,"C3","Lomandra longifolia","Light",1,0.787,0.812,0.71,0.969211822660099,7,"Lomandra longifolia_7"
"130",130,15,44,30,"C3","Lomandra longifolia","Light",1,0.759,0.775,0.697,0.979354838709677,7,"Lomandra longifolia_7"
"131",131,15,52,5,"C3","Lomandra longifolia","Light",1,0.369,0.794,0.3,0.464735516372796,7,"Lomandra longifolia_7"
"132",132,15,44,15,"C3","Lomandra longifolia","Light",1,0.732,0.746,0.616,0.981233243967828,7,"Lomandra longifolia_7"
"133",133,15,40,15,"C3","Lomandra longifolia","Light",1,0.758,0.818,0.707,0.926650366748166,7,"Lomandra longifolia_7"
"134",134,16,44,5,"C4","Lomandra longifolia","Light",1,0.703,0.771,0.627,0.911802853437095,8,"Lomandra longifolia_8"
"135",135,16,48,60,"C4","Lomandra longifolia","Light",1,0.395,0.782,0.236,0.505115089514066,8,"Lomandra longifolia_8"
"136",136,16,52,30,"C4","Lomandra longifolia","Light",1,0.073,0.722,0.056,0.101108033240997,8,"Lomandra longifolia_8"
"137",137,16,44,30,"C4","Lomandra longifolia","Light",1,0.753,0.753,0.677,1,8,"Lomandra longifolia_8"
"138",138,16,48,5,"C4","Lomandra longifolia","Light",1,0.676,0.813,NA,0.831488314883149,8,"Lomandra longifolia_8"
"139",139,16,44,60,"C4","Lomandra longifolia","Light",1,0.702,0.739,0.386,0.949932341001353,8,"Lomandra longifolia_8"
"140",140,16,48,30,"C4","Lomandra longifolia","Light",1,0.444,0.773,0.227,0.574385510996119,8,"Lomandra longifolia_8"
"141",141,16,40,120,"C4","Lomandra longifolia","Light",1,0.656,0.755,0.551,0.86887417218543,8,"Lomandra longifolia_8"
"142",142,16,30,60,"C4","Lomandra longifolia","Light",1,0.694,0.757,0.597,0.916776750330251,8,"Lomandra longifolia_8"
"143",143,16,52,15,"C4","Lomandra longifolia","Light",1,0.142,0.787,0.209,0.180432020330368,8,"Lomandra longifolia_8"
"144",144,16,40,30,"C4","Lomandra longifolia","Light",1,0.733,0.784,0.697,0.934948979591837,8,"Lomandra longifolia_8"
"145",145,16,35,120,"C4","Lomandra longifolia","Light",1,0.715,0.773,0.643,0.92496765847348,8,"Lomandra longifolia_8"
"146",146,16,44,15,"C4","Lomandra longifolia","Light",1,0.749,0.79,0.689,0.948101265822785,8,"Lomandra longifolia_8"
"147",147,16,40,60,"C4","Lomandra longifolia","Light",1,0.738,0.82,0.816,0.9,8,"Lomandra longifolia_8"
"148",148,16,52,5,"C4","Lomandra longifolia","Light",1,0.379,0.814,0.382,0.465601965601966,8,"Lomandra longifolia_8"
"149",149,16,35,30,"C4","Lomandra longifolia","Light",1,0.737,0.778,0.686,0.947300771208226,8,"Lomandra longifolia_8"
"150",150,16,40,15,"C4","Lomandra longifolia","Light",1,0.745,0.794,0.685,0.938287153652393,8,"Lomandra longifolia_8"
"151",151,16,35,60,"C4","Lomandra longifolia","Light",1,0.711,0.76,0.705,0.935526315789474,8,"Lomandra longifolia_8"
"152",152,16,44,120,"C4","Lomandra longifolia","Light",1,0.59,0.771,0.429,0.765239948119325,8,"Lomandra longifolia_8"
"153",153,17,48,5,"C5","Lomandra longifolia","Light",1,0.719,0.785,NA,0.915923566878981,9,"Lomandra longifolia_9"
"154",154,17,40,120,"C5","Lomandra longifolia","Light",1,0.745,0.802,0.656,0.928927680798005,9,"Lomandra longifolia_9"
"155",155,17,44,15,"C5","Lomandra longifolia","Light",1,0.755,0.787,0.696,0.959339263024142,9,"Lomandra longifolia_9"
"156",156,17,40,15,"C5","Lomandra longifolia","Light",1,0.75,0.804,0.712,0.932835820895522,9,"Lomandra longifolia_9"
"157",157,17,48,60,"C5","Lomandra longifolia","Light",1,0.531,0.751,0.354,0.707057256990679,9,"Lomandra longifolia_9"
"158",158,17,30,60,"C5","Lomandra longifolia","Light",1,0.713,0.811,0.65,0.879161528976572,9,"Lomandra longifolia_9"
