unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
1,fvfm_io,T90,45.09957336977108,52.78574405728283,-4.322562934875999,-4.322562934875999,0.997296439969513,0.9972964399695129,TRUE,NA
2,fvfm_io,T90,61.169725768215415,57.42108547565785,2.1081672842784225,2.108167284278423,0.5225108233513994,0.5225108233513994,TRUE,NA
3,fvfm_io,T90,44.265379719876925,51.49375747712828,-4.065108497205624,-4.065108497205624,0.9846314232729795,0.9846314232729795,TRUE,NA
4,fvfm_io,T90,44.55629108598663,50.66084763274303,-3.433091839313055,-3.4330918393130565,0.9796077126807234,0.9796077126807232,TRUE,NA
5,fvfm_io,T90,50.117422095283544,56.097988764230884,-3.3633621817362305,-3.3633621817362305,0.9953240402274416,0.9953240402274416,TRUE,NA
6,fvfm_io,T90,49.7348534093922,52.94494571098126,-1.8052976657055844,-1.8052976657055848,0.9869719445011311,0.9869719445011311,TRUE,NA
7,fvfm_io,T90,55.606244176896425,61.10366760383173,-3.0916511886990556,-3.0916511886990556,0.9060449961224752,0.9060449961224751,TRUE,NA
8,fvfm_io,T90,60.20619822977149,56.44556277689961,2.1149131447960388,2.1149131447960388,0.7092890005297234,0.7092890005297233,TRUE,NA
9,fvfm_io,T90,59.818571811694916,56.02412835085006,2.1339261550591884,2.133926155059188,0.6174009380722554,0.6174009380722554,TRUE,NA
10,fvfm_io,T90,52.96183443661327,50.083308723533776,1.618830632353943,1.6188306323539434,0.9240956119279964,0.9240956119279962,TRUE,NA
11,fvfm_io,T90,49.90062834946925,55.704691340974165,-3.2640997160689627,-3.2640997160689627,0.9973798255472651,0.9973798255472651,TRUE,NA
12,fvfm_io,T90,51.9337265036289,50.7001206383855,0.6937575557631802,0.6937575557631805,0.11798725848370357,0.11798725848370355,TRUE,NA
13,fvfm_io,T90,49.986842361012336,54.29926636097263,-2.425229011890792,-2.425229011890792,0.9954829278077242,0.9954829278077242,TRUE,NA
14,fvfm_io,T90,43.70017814281585,47.86135283657156,-2.340169146386129,-2.340169146386129,0.9897402042428068,0.9897402042428068,TRUE,NA
15,fvfm_io,T90,48.48208995400391,53.926084684651066,-3.0616038593300705,-3.0616038593300705,0.9887208184371143,0.9887208184371143,TRUE,NA
16,fvfm_io,T90,48.873289851561495,53.3898322028747,-2.54002146911785,-2.540021469117851,0.9849902515956123,0.9849902515956123,TRUE,NA
17,fvfm_io,T90,44.09323306623864,49.72596067727385,-3.1677438068442854,-3.1677438068442854,0.9938497615434024,0.9938497615434024,TRUE,NA
18,fvfm_io,T90,44.621694480289975,52.92268209829227,-4.668324821193544,-4.668324821193545,0.9956121462959875,0.9956121462959875,TRUE,NA
19,fvfm_io,T90,50.791748209810315,60.773247698101606,-5.613414205421353,-5.613414205421355,0.9991700877820556,0.9991700877820556,TRUE,NA
20,fvfm_io,T90,49.74760650484034,57.84341691301674,-4.5529368811734665,-4.5529368811734665,0.9957322491331428,0.9957322491331428,TRUE,NA
21,fvfm_io,T90,49.82976292785409,57.55398365434454,-4.343961586408309,-4.343961586408309,0.9960557573768151,0.9960557573768151,TRUE,NA
