unique_sample,response_type,threshold,Time,temperature,temperature_sd
1,fvfm_io,T90,5,50.23092079971924,1.31752213989007
1,fvfm_io,T90,15,47.348660227753506,0.544938153862798
1,fvfm_io,T90,30,46.05313735679735,0.8063875887631561
1,fvfm_io,T90,60,44.24144813696712,1.0079400044488864
2,fvfm_io,T90,5,51.17475818272828,1.9753186614581588
2,fvfm_io,T90,15,48.60958079045152,1.3291894581188795
2,fvfm_io,T90,30,47.31564597394816,1.109924527025729
2,fvfm_io,T90,60,46.09030884602923,1.4258885735516649
3,fvfm_io,T90,5,49.42151088353137,1.976780185717837
3,fvfm_io,T90,15,46.735680603612984,1.296478755004536
3,fvfm_io,T90,30,45.6574216845122,1.5301418017122963
3,fvfm_io,T90,60,44.619169524112465,1.5376799928546296
4,fvfm_io,T90,5,59.90487906154762,4.044119262325446
4,fvfm_io,T90,15,54.03228954236604,1.9392227163934108
4,fvfm_io,T90,30,52.22547133049107,2.1640044835343097
4,fvfm_io,T90,60,50.167459223845725,2.1283906308074836
5,fvfm_io,T90,5,48.85702239172425,1.299210759555936
5,fvfm_io,T90,15,48.23333232785949,1.2385500597825596
5,fvfm_io,T90,30,48.008596638360984,2.001397428424175
5,fvfm_io,T90,60,47.21289079220491,4.248091109518627
6,fvfm_io,T90,5,51.651201950080214,2.547487272751446
6,fvfm_io,T90,15,48.01910170876529,1.2147590510640267
6,fvfm_io,T90,30,46.434156223439416,1.1483713963556033
6,fvfm_io,T90,60,44.6202538633489,1.1334334764947238
7,fvfm_io,T90,5,49.702328659957445,2.12002147022975
7,fvfm_io,T90,15,46.60120039371435,1.068833143667698
7,fvfm_io,T90,30,44.73974948581461,1.1497593047094
7,fvfm_io,T90,60,43.455064383656904,1.012687618263934
8,fvfm_io,T90,5,55.55575937390976,3.285411303118426
8,fvfm_io,T90,15,52.72280181196718,1.711559657205193
8,fvfm_io,T90,30,51.803557518008084,2.5509882698110835
8,fvfm_io,T90,60,50.37797034470509,3.553188674022918
9,fvfm_io,T90,5,56.72984128283848,3.2114678448367613
9,fvfm_io,T90,15,52.612093593227776,1.1139427627887313
9,fvfm_io,T90,30,51.27212732251431,1.1512831605131928
9,fvfm_io,T90,60,49.72666152448108,1.4499806286343586
10,fvfm_io,T90,5,65.25246413304544,3.84195422528433
10,fvfm_io,T90,15,58.172104982575505,1.4608847361437152
10,fvfm_io,T90,30,56.17298094428836,1.37576266141286
10,fvfm_io,T90,60,53.178629247540485,1.446496119650101
11,fvfm_io,T90,5,57.90923538462867,2.2620105853043757
11,fvfm_io,T90,15,54.27653729421779,0.9737737601993248
11,fvfm_io,T90,30,53.04365256653622,1.0388873341881892
11,fvfm_io,T90,60,51.04715285455626,0.5534531760977152
12,fvfm_io,T90,5,65.43136454676413,4.523417850597721
12,fvfm_io,T90,15,60.019343570094,2.3490398336430123
12,fvfm_io,T90,30,58.44473605451334,2.4285161116483667
12,fvfm_io,T90,60,55.60479857919727,2.3448013669152976
13,fvfm_io,T90,5,56.88188127176621,3.9131131138854607
13,fvfm_io,T90,15,54.440160124961444,1.8923853051270831
13,fvfm_io,T90,30,53.845050793097286,1.9922291529230267
13,fvfm_io,T90,60,52.29895373636448,2.4396180977417625
14,fvfm_io,T90,5,62.98319322431688,5.660672716011002
14,fvfm_io,T90,15,57.8616142665609,1.9570479912529442
14,fvfm_io,T90,30,56.46191149515127,2.0846046313137845
14,fvfm_io,T90,60,53.8256533672353,2.244043950216466
15,fvfm_io,T90,5,59.47011149218521,3.3213555923561224
15,fvfm_io,T90,15,53.556102142667385,0.9911222977997135
15,fvfm_io,T90,30,52.23714751687435,1.1702425982879263
15,fvfm_io,T90,60,50.96965170641559,0.8173358170953396
16,fvfm_io,T90,5,62.72391945056564,5.931887095684958
16,fvfm_io,T90,15,60.49497095054774,3.058109851906473
16,fvfm_io,T90,30,59.89005271198462,2.9122344441029493
16,fvfm_io,T90,60,56.945018312444915,2.7987421155933077
17,fvfm_io,T90,5,49.625142137242655,1.4036961664598497
17,fvfm_io,T90,15,48.40833309118519,1.259488593639526
17,fvfm_io,T90,30,47.81741261962145,1.4755356423657051
17,fvfm_io,T90,60,47.02331974533353,2.57694163496065
18,fvfm_io,T90,5,54.68560384634311,3.0553627159096863
18,fvfm_io,T90,15,48.80772686336946,1.5146232495712162
18,fvfm_io,T90,30,46.59195046627146,1.2766626030421653
18,fvfm_io,T90,60,44.65710842971508,1.3372863004424123
19,fvfm_io,T90,5,54.69113394854204,3.3729955817401924
19,fvfm_io,T90,15,48.88331265079766,1.4252146575144413
19,fvfm_io,T90,30,46.4351615216421,1.2323854501025062
19,fvfm_io,T90,60,44.234578649048274,0.9148174292839301
20,fvfm_io,T90,5,57.38764952188792,5.4080291911480725
20,fvfm_io,T90,15,52.992463981318245,1.9759500835657
20,fvfm_io,T90,30,51.51786977782007,2.2890124488860373
20,fvfm_io,T90,60,49.64368496829925,2.592609222071473
21,fvfm_io,T90,5,60.662769618381525,2.7072029534917927
21,fvfm_io,T90,15,59.985846793839166,2.1002690547602096
21,fvfm_io,T90,30,60.476306135011484,2.7919852980399065
21,fvfm_io,T90,60,58.06944632832832,3.1541745515998976
22,fvfm_io,T90,5,62.053380957836076,3.453541561562926
22,fvfm_io,T90,15,70.42760136042124,4.87532552112584
22,fvfm_io,T90,30,69.39398445485372,4.203117435902173
22,fvfm_io,T90,60,61.955151951216294,4.548303363598862
23,fvfm_io,T90,5,63.12047363569095,4.048902506015331
23,fvfm_io,T90,15,63.7061590675219,3.9867680980386724
23,fvfm_io,T90,30,64.59903226810557,4.563385659306708
23,fvfm_io,T90,60,61.143656927749944,4.70820839687534
24,fvfm_io,T90,5,68.25843339894818,3.7926719488549234
24,fvfm_io,T90,15,NA,NA
24,fvfm_io,T90,30,NA,NA
24,fvfm_io,T90,60,NA,NA
25,fvfm_io,T90,5,61.03766821315582,2.311634848196176
25,fvfm_io,T90,15,62.692351460250414,2.3076883949787406
25,fvfm_io,T90,30,64.90638623155951,3.8372561978258912
25,fvfm_io,T90,60,62.53683025059958,4.4921039018214435
26,fvfm_io,T90,5,63.90037364048413,5.312255896509156
26,fvfm_io,T90,15,66.16425128508638,4.161397503389145
26,fvfm_io,T90,30,65.66126802794352,4.062137393802459
26,fvfm_io,T90,60,60.97606881036769,4.229030773013566
27,fvfm_io,T90,5,63.31885404779695,4.428279079338403
27,fvfm_io,T90,15,62.744201461396116,3.493490283915775
27,fvfm_io,T90,30,63.64012507865815,3.8737089365286472
27,fvfm_io,T90,60,60.99332774996615,4.374846338126659
28,fvfm_io,T90,5,72.69327353509944,3.9521871389902996
28,fvfm_io,T90,15,NA,NA
28,fvfm_io,T90,30,NA,NA
28,fvfm_io,T90,60,NA,NA
29,fvfm_io,T90,5,58.402828728692725,2.8798304607531815
29,fvfm_io,T90,15,54.88827735545318,1.2677944829834378
29,fvfm_io,T90,30,53.84147239220819,1.4012273002437883
29,fvfm_io,T90,60,51.75506523111411,1.2920856695346083
30,fvfm_io,T90,5,61.24089258019179,4.686221168277253
30,fvfm_io,T90,15,57.48193871144234,1.848982936661949
30,fvfm_io,T90,30,56.36603171386932,2.073054717673333
30,fvfm_io,T90,60,53.70237929964229,2.2562996147278236
31,fvfm_io,T90,5,58.57126655158607,2.4251257859253035
31,fvfm_io,T90,15,54.846917782421066,1.0262601747113997
31,fvfm_io,T90,30,53.54501546530554,1.151112924014196
31,fvfm_io,T90,60,51.285711442249536,0.7808706969583452
32,fvfm_io,T90,5,62.27973353919509,3.691708150809482
32,fvfm_io,T90,15,62.54445765662238,2.534653502349216
32,fvfm_io,T90,30,63.918013761843895,3.232561611577885
32,fvfm_io,T90,60,61.204130836249675,3.50061493106159
33,fvfm_io,T90,5,49.02208870556553,1.3342129426031706
33,fvfm_io,T90,15,47.363035533315895,0.7741488812047648
33,fvfm_io,T90,30,46.43012029875713,1.0326945046619764
33,fvfm_io,T90,60,44.59611830663544,2.096587933826075
34,fvfm_io,T90,5,50.78193121492098,2.081176556770053
34,fvfm_io,T90,15,47.4964160044007,0.8584191288863655
34,fvfm_io,T90,30,46.36112785196896,1.0614776280162694
34,fvfm_io,T90,60,44.940344248127225,1.445668641954803
35,fvfm_io,T90,5,50.137217600669445,2.370605146205562
35,fvfm_io,T90,15,47.109754020249994,1.158951522345979
35,fvfm_io,T90,30,45.902866417542654,1.4565539309297637
35,fvfm_io,T90,60,44.690504700836826,1.589341989167458
36,fvfm_io,T90,5,60.95432910209983,4.719339551469056
36,fvfm_io,T90,15,54.03178492805724,2.0734111903621124
36,fvfm_io,T90,30,51.96601533459044,2.4649500752347464
36,fvfm_io,T90,60,49.63985433714027,2.422772858611185
37,fvfm_io,T90,5,55.31762896331564,2.9769183155696886
37,fvfm_io,T90,15,52.48625055075481,1.077826468464313
37,fvfm_io,T90,30,51.48722232542545,0.9312296878209404
37,fvfm_io,T90,60,50.29718443442868,1.5685373257331938
38,fvfm_io,T90,5,62.41406162353906,5.479329954607748
38,fvfm_io,T90,15,57.26494723522252,2.1232926499482696
38,fvfm_io,T90,30,55.17104353697523,1.8720936788205218
38,fvfm_io,T90,60,52.18712614019496,1.6031737380899815
39,fvfm_io,T90,5,59.472890735208985,3.421364954615504
39,fvfm_io,T90,15,54.911472251339816,1.6774989595089618
39,fvfm_io,T90,30,53.462732302783884,1.67307087632517
39,fvfm_io,T90,60,51.333951771523196,1.3747008182477074
40,fvfm_io,T90,5,62.043917209632355,6.3389798802239286
40,fvfm_io,T90,15,63.515056303844496,5.396843757793952
40,fvfm_io,T90,30,62.94921466325755,4.592567311359323
40,fvfm_io,T90,60,59.19863899279566,4.657633187635953
41,fvfm_io,T90,5,54.57254851286381,2.3498969097806546
41,fvfm_io,T90,15,52.140898695180326,0.9735618919320734
41,fvfm_io,T90,30,51.2308791019138,1.0783193795065193
41,fvfm_io,T90,60,50.019498947732664,1.8116848052952763
42,fvfm_io,T90,5,63.72013491761578,6.345429287504708
42,fvfm_io,T90,15,56.750874834119394,1.5399103173362434
42,fvfm_io,T90,30,54.420050026707834,1.5967022414551661
42,fvfm_io,T90,60,51.49546093027175,1.1158418075550811
43,fvfm_io,T90,5,58.29259738442244,2.9394239928607817
43,fvfm_io,T90,15,54.41057775860768,1.522927413994842
43,fvfm_io,T90,30,53.1914527692903,1.6186994026467936
43,fvfm_io,T90,60,51.43366454598295,1.3204045194231635
44,fvfm_io,T90,5,73.24714580522382,7.073431323885714
44,fvfm_io,T90,15,62.75696621193392,4.156752574470306
44,fvfm_io,T90,30,58.6804871087573,3.844846734993039
44,fvfm_io,T90,60,54.54517455747157,3.220813604329333
45,fvfm_io,T90,5,56.74928342299198,2.1221510933913783
45,fvfm_io,T90,15,53.08685344728769,0.7769299832584641
45,fvfm_io,T90,30,51.88801791402434,0.8910247851415652
45,fvfm_io,T90,60,50.63309183243543,0.8417919838737478
46,fvfm_io,T90,5,61.4735956171824,4.63995488036145
46,fvfm_io,T90,15,57.623773356134066,1.4120266562229968
46,fvfm_io,T90,30,56.316756001113646,1.2848441821316792
46,fvfm_io,T90,60,53.582280942987815,1.4447784106502544
47,fvfm_io,T90,5,61.09494044733597,3.9473712723881462
47,fvfm_io,T90,15,55.05345123407218,1.037206444249081
47,fvfm_io,T90,30,52.78561135648234,1.1114733956848515
